"EFF_DATE","ARRIVAL_NAME","AMENDMENT_NO","ARTCC","STAR_AMEND_EFF_DATE","RNAV_FLAG","STAR_COMPUTER_CODE","SERVED_ARPT"
"2025/11/27","FRIHO","FOUR","ZAB","2006/04/13","N","FRIHO.FRIHO4","ABQ AEG"
"2025/11/27","FRLON","TWO","ZOA","2016/07/21","Y","FRLON.FRLON2","SJC"
"2025/11/27","FROGZ","FOUR","ZMA","2023/06/15","Y","FROGZ.FROGZ4","07FA HST MIA TMB X51"
"2025/11/27","DEBERRY","FIVE","ZDV","2022/07/14","N","FSHER.DBRY5","COS"
"2025/11/27","KUSTR","THREE","ZLC","2018/09/13","Y","FSYTH.KUSTR3","BIL"
"2025/11/27","FYTTE","SEVEN","ZAU","2021/06/17","Y","FYTTE.FYTTE7","ORD"
"2025/11/27","GABOO","ONE","ZHU","2020/07/16","Y","GABOO.GABOO1","3R9 HYI RYW T74"
"2025/11/27","SEWZY","SIX","ZHU","2021/04/22","Y","GABOO.SEWZY6","AUS"
"2025/11/27","DREEM","THREE","ZBW","2025/11/27","Y","GASSE.DREEM3","BED BVY LWM"
"2025/11/27","GAVNN","SEVEN","ZID","2024/03/21","Y","GAVNN.GAVNN7","CVG"
"2025/11/27","GOPHER","ONE","ZMP","2017/08/17","N","GEP.GEP1","ANE FCM LVN MIC MSP STP"
"2025/11/27","CCASH","ONE","ZFW","2014/07/24","Y","GHOST.CCASH1","OUN PWA TIK"
"2025/11/27","GHOST","THREE","ZFW","2017/12/07","Y","GHOST.GHOST3","OKC"
"2025/11/27","GIBBZ","FIVE","ZDC","2024/03/21","Y","GIBBZ.GIBBZ5","HEF IAD JYO"
"2025/11/27","GIIBS","FOUR","ZID","2024/07/11","Y","GIIBS.GIIBS4","IND"
"2025/11/27","GLASR","THREE","ZSE","2024/01/25","N","GLASR.GLASR3","BFI RNT SEA TCM"
"2025/11/27","GLAVN","TWO","ZTL","2025/11/27","Y","GLAVN.GLAVN2","ATL"
"2025/11/27","HTOWN","THREE","ZHU","2023/10/05","Y","GMANN.HTOWN3","IAH"
"2025/11/27","TEJAS","FIVE","ZHU","2023/10/05","Y","GMANN.TEJAS5","IAH"
"2025/11/27","GNDLF","THREE","ZTL","2025/11/27","Y","GNDLF.GNDLF3","ATL"
